@relation weka

@attribute Tipodeusuario {NewVisitor,ReturningVisitor}
@attribute Fecha numeric
@attribute Sesiones numeric
@attribute PorcentajeNuevasSesiones numeric
@attribute Usuariosnuevos numeric
@attribute Porcentajedrebote numeric
@attribute Paginassesion numeric
@attribute Duracionmedia numeric
@attribute Porcentajedconversionesdelobjetivo numeric
@attribute Objetivoscumplidos numeric
@attribute Valordelobjetivo numeric

@data
NewVisitor,20150808,1930,100,1930,92.75,1.11,21.47,0,0,0
NewVisitor,20170604,1924,100,1924,90.38,1.18,37.66,0,0,0
NewVisitor,20170519,1922,100,1922,89.07,1.17,42.42,0,0,0
NewVisitor,20160711,1905,100,1905,93.49,1.15,22.96,0,0,0
ReturningVisitor,20170706,1896,0,0,79.43,1.47,90.62,0,0,0
NewVisitor,20161227,1895,100,1895,90.29,1.18,31.97,0,0,0
NewVisitor,20170224,1889,100,1889,90.74,1.14,25.62,0,0,0
ReturningVisitor,20170411,1878,0,0,88.66,1.18,39.72,0,0,0
NewVisitor,20160313,1876,100,1876,93.82,1.09,15.49,0,0,0
ReturningVisitor,20170412,1876,0,0,87.53,1.2,60.89,0,0,0
NewVisitor,20170412,1853,100,1853,88.99,1.15,35.7,0,0,0
ReturningVisitor,20170525,1838,0,0,88.57,1.21,44.61,0,0,0
NewVisitor,20170605,1811,100,1811,90.61,1.18,28.8,0,0,0
NewVisitor,20170207,1801,100,1801,89.89,1.2,31.77,0,0,0
NewVisitor,20170426,1794,100,1794,89.97,1.17,28.84,0,0,0
NewVisitor,20170113,1788,100,1788,89.77,1.18,36.45,0,0,0
NewVisitor,20160905,1784,100,1784,88.96,1.22,34.77,0,0,0
NewVisitor,20160918,1776,100,1776,90.71,1.19,28.5,0,0,0
ReturningVisitor,20170612,1776,0,0,87.33,1.26,71.61,0,0,0
NewVisitor,20170307,1765,100,1765,86.97,1.21,42.27,0,0,0
ReturningVisitor,20170425,1739,0,0,83.84,1.25,60.81,0,0,0
NewVisitor,20170612,1728,100,1728,89.12,1.2,39.96,0,0,0
ReturningVisitor,20170621,1728,0,0,88.66,1.18,41.28,0,0,0
NewVisitor,20160923,1727,100,1727,89.35,1.18,41.03,0,0,0
NewVisitor,20161122,1726,100,1726,89.22,1.21,35.84,0,0,0
NewVisitor,20170223,1702,100,1702,91.42,1.14,20.9,0,0,0
NewVisitor,20170214,1685,100,1685,89.97,1.2,47.29,0,0,0
NewVisitor,20170205,1683,100,1683,91.03,1.17,30.24,0,0,0
ReturningVisitor,20161002,1680,0,0,87.38,1.27,70.95,0,0,0
ReturningVisitor,20170307,1680,0,0,85,1.23,45.88,0,0,0
NewVisitor,20161217,1677,100,1677,85.15,1.23,43.44,0,0,0
NewVisitor,20170302,1670,100,1670,90.48,1.21,31.18,0,0,0
NewVisitor,20150807,1660,100,1660,93.49,1.09,19.74,0,0,0
NewVisitor,20170724,1659,100,1659,83.85,1.31,49.43,0,0,0
NewVisitor,20170530,1654,100,1654,84.1,1.28,48.44,0,0,0
ReturningVisitor,20161227,1651,0,0,85.52,1.27,61.01,0,0,0
NewVisitor,20151114,1644,100,1644,90.88,1.14,31.78,0,0,0
NewVisitor,20170425,1636,100,1636,88.51,1.21,40.66,0,0,0
NewVisitor,20160429,1631,100,1631,85.35,1.25,29.09,0,0,0
NewVisitor,20160803,1620,100,1620,92.1,1.11,22.68,0,0,0
NewVisitor,20161015,1615,100,1615,91.76,1.14,23.38,0,0,0
NewVisitor,20170305,1597,100,1597,87.23,1.28,40.18,0,0,0
NewVisitor,20170306,1594,100,1594,86.7,1.22,37.23,0,0,0
ReturningVisitor,20170619,1573,0,0,86.14,1.21,47.95,0,0,0
NewVisitor,20170707,1570,100,1570,84.39,1.28,55.14,0,0,0
